Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,ClassLabel
Excellent,Excellent,AVERAGE,Other University,A-,0,Low,no
Excellent,Excellent,GOOD,BITS University,B,0,Low,no
Average,Good,AVERAGE,Hyderabad University,B+,0,Low,no
Excellent,Average,AVERAGE,Other University,A-,0,Low,no
Excellent,Excellent,AVERAGE,Mumbai University,B,0,Low,no
Good,Good,AVERAGE,Mumbai University,B,0,Low,no
Good,Good,GOOD,Other University,B-,0,Low,no
Good,Bad,AVERAGE,Other University,B-,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Average,Average,LOW,Other University,A-,0,Low,no
Good,Good,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Good,GOOD,Mumbai University,B,0,Low,no
Excellent,Good,AVERAGE,Mumbai University,B,0,Low,no
Good,Good,AVERAGE,Other University,B-,0,Low,no
Good,Good,AVERAGE,Mumbai University,B+,0,Low,no
Good,Excellent,GOOD,Pune University,B,0,Low,no
Good,Low,AVERAGE,Mumbai University,B-,0,Low,no
Good,Bad,AVERAGE,Mumbai University,B,0,Low,no
Excellent,Good,AVERAGE,BITS University,B+,0,Low,no
Good,Good,AVERAGE,Hyderabad University,B+,0,Low,no
Low,Bad,AVERAGE,NIT,B+,0,Low,no
Good,Average,AVERAGE,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,VIT,A,0,Low,no
Excellent,Good,AVERAGE,IIT,A-,0,Low,no
Excellent,Good,GOOD,Mumbai University,B+,0,Low,no
Excellent,Excellent,AVERAGE,Other University,A-,0,Low,no
Good,Excellent,GOOD,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,GOOD,Mumbai University,B+,0,Low,no
Excellent,Good,GOOD,IIT,A-,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Mumbai University,B,0,Low,no
Excellent,Good,AVERAGE,College of Engineering,A,0,High,no
Excellent,Excellent,GOOD,Pune University,B,0,Low,no
Excellent,Average,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Mumbai University,B+,0,High,no
Excellent,Low,AVERAGE,Mumbai University,B+,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Excellent,GOOD,Other University,A-,0,Low,no
Good,Good,AVERAGE,Other University,B,0,Low,no
Excellent,Good,AVERAGE,Other University,A-,0,Low,no
Good,Good,AVERAGE,Other University,B+,0,Low,no
Good,Good,AVERAGE,Other University,B,0,Low,no
Excellent,Good,AVERAGE,Hyderabad University,B+,0,Low,no
Good,Good,AVERAGE,Other University,A-,0,Low,no
Good,Average,LOW,VIT,B,0,Low,no
